"","2020-04-29","2020-04-28","2020-04-27"
"214",194.99,184.66,188.89
"215",195.14,184.71,188.92
"216",195.12,184.68,189.01
"217",194.94,184.66,189.07
"218",195.02,184.61,189
"219",194.91,184.66,189.03
"220",195.24,184.57,188.87
"221",195.29,184.63,188.71
"222",195.29,184.83,188.44
"223",195.21,184.75,188.68
"224",195.18,184.73,188.33
"225",195.14,184.48,188.46
"226",194.98,184.44,188.15
"227",195.15,184.53,188.24
"228",195.14,184.4,188.26
"229",195.27,184.54,188.02
"230",195.24,184.49,187.87
"231",195.23,184.81,187.87
"232",195.06,184.69,187.63
"233",195.1,184.71,187.68
"234",194.97,184.67,187.57
"235",194.96,184.68,187.555
"236",195.04,184.42,187.83
"237",195.12,184.46,187.88
"238",195.02,184.49,187.75
"239",195.11,184.47,188.02
"240",195.19,184.35,188.27
"241",195.36,184.37,188.34
"242",195.47,184.49,188.2
"243",195.6,184.65,188.11
"244",195.585,184.46,188.1
"245",195.55,184.54,188.13
"246",195.73,184.35,187.94
"247",195.81,184.37,188.2
"248",195.92,184.51,188.35
"249",195.96,184.59,188.31
"250",196.02,184.39,188.25
"251",196.34,184.52,188.13
"252",196.26,184.54,188.04
"253",196.25,184.46,187.85
"254",196.21,184.61,187.77
"255",195.77,184.57,187.61
"256",195.97,184.54,187.8
"257",196.04,184.66,187.89
"258",195.91,184.82,187.98
"259",195.74,184.67,187.88
"260",196.06,184.74,187.9
"261",196.23,184.87,187.8
"262",196.27,184.88,187.67
"263",196.48,184.9,187.82
"264",196.68,184.88,187.69
"265",196.56,184.91,187.76
"266",196.56,184.99,188.02
"267",196.625,185,188.05
"268",196.64,184.93,187.91
"269",196.58,184.75,187.9
"270",196.53,184.9,187.87
"271",196.53,185.08,188.05
"272",196.5,185.13,188.06
"273",196.56,184.95,187.85
"274",196.28,184.98,187.91
"275",196.67,185.08,187.8
"276",196.73,185.09,187.71
"277",196.37,184.95,187.69
"278",196.45,184.71,187.61
"279",196.19,184.64,187.69
"280",196.11,184.64,187.78
"281",196.32,184.66,187.89
"282",196.2,184.7,187.97
"283",195.87,184.755,187.97
"284",195.74,184.67,188.07
"285",195.85,184.66,188.13
"286",195.98,184.57,188.17
"287",195.7,184.63,188.14
"288",195.55,184.71,188.08
"289",195.64,184.91,188.08
"290",195.41,184.87,188.16
"291",195.8,184.84,188.16
"292",195.63,184.64,188.27
"293",195.5,184.63,188.28
"294",195.48,184.635,188.18
"295",195.67,184.63,188.25
"296",195.66,184.75,188.29
"297",195.59,184.72,188.21
"298",195.44,184.6,188.18
"299",195.42,184.47,188.12
"300",195.46,184.48,187.92
"301",195.46,184.53,187.75
"302",195.25,184.62,188
"303",195.4,184.68,187.92
"304",195.25,184.82,187.88
"305",194.94,184.78,187.85
"306",194.84,184.66,187.82
"307",195,184.53,187.89
"308",194.93,184.6,187.91
"309",195.31,184.63,188.14
"310",195.36,184.61,188.06
"311",195.59,184.8,188.27
"312",195.68,184.81,188.19
"313",195.81,184.96,188.17
"314",195.83,184.96,188.17
"315",195.72,184.8,188.12
"316",195.76,184.78,188.21
"317",195.77,184.83,188.13
"318",195.76,184.73,188.08
"319",195.75,184.67,188.2
"320",195.71,184.695,188.23
"321",195.56,184.73,188.24
"322",195.48,184.54,188.13
"323",195.3,184.28,188.15
"324",194.96,184.34,188.09
"325",194.78,184.16,188.08
"326",194.77,184.15,188.08
"327",194.83,183.945,188.18
"328",195.07,184.08,188.1
"329",195.13,184.09,188.05
"330",195.12,184.29,188.09
"331",194.98,184.17,188.02
"332",195.04,184.34,187.89
"333",195.11,184.32,187.98
"334",195.08,184.25,188.12
"335",194.99,184.17,188.09
"336",194.86,184.16,187.85
"337",194.32,184.24,187.67
"338",194.19,184.35,187.78
"339",194.54,184.26,187.95
"340",194.48,184.23,187.93
"341",194.39,184.32,188.05
"342",194.62,184.4,188.08
"343",194.53,184.38,188.13
"344",194.45,184.54,188.11
"345",194.35,184.48,188.01
"346",194.37,184.52,188.12
"347",194.43,184.42,188.2
"348",194.71,184.19,188.21
"349",194.94,184.23,188.28
"350",195.27,184.32,188.51
"351",195.32,184.32,188.67
"352",195.4,183.78,188.58
"353",195.49,183.61,188.66
"354",195.75,183.64,188.86
"355",195.83,183.85,188.73
"356",196.09,184.06,188.77
"357",196.02,184.1,188.71
"358",196.16,184.07,188.56
"359",196.26,184.03,188.55
"360",196.33,184.07,188.67
"361",195.89,183.98,188.78
"362",195.945,183.78,188.61
"363",196.02,183.76,188.33
"364",196.06,183.72,188.42
"365",196.08,183.66,188.43
"366",196.12,183.61,188.52
"367",195.86,183.68,188.48
"368",196.02,183.93,188.54
"369",196.12,183.89,188.66
"370",196.02,184,188.4
"371",196.12,183.82,188.41
"372",196.5,183.69,188.58
"373",196.55,183.48,188.64
"374",196.5,183.25,188.65
"375",196.44,183.29,188.71
"376",196.28,183.28,188.59
"377",196.35,183.06,188.64
"378",196.23,183.155,188.56
"379",196.3,183.14,188.53
"380",196.12,183.03,188.6
"381",195.31,183.07,188.4
"382",195.09,182.84,188.17
"383",194.78,182.6,188.13
"384",194.57,182.76,188.24
"385",194.81,182.71,188.06
"386",194.44,183,187.75
"387",194.34,183.11,187.88
"388",194.84,183.01,187.68
"389",194.2,183.19,187.57
"390",194,182.86,187.5
