"Regime" "Start Time" "End Time" "Mean" "Standard Deviation" "Volatility"
1 1 216 -2.42211734258274e-05 0.000755696764061774 0.236908223687352
2 216 376 2.2436973507974e-06 0.000591293616136623 0.185368426779644
3 376 390 0.000162933574067085 0.000991019541197408 0.292477127054447
