"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",10,10,"2022-04-11 15:47:00",84.02,87.5,0,0,"09:26","12-Apr"
"2",32,10,"2022-04-11 15:47:00",84.02,87.5,0,0,"09:31","12-Apr"
"3",54,9,"2022-04-11 15:47:00",84.885,87.5,0,0,"09:37","12-Apr"
"4",75,8,"2022-04-11 15:47:00",85.47,87.5,0,0,"09:42","12-Apr"
"5",97,9,"2022-04-11 15:47:00",85.07,87.5,0,0,"09:47","12-Apr"
"6",118,8,"2022-04-11 15:47:00",85.655,87.5,0.55,0.73,"09:53","12-Apr"
"7",139,8,"2022-04-12 09:41:00",85.84,87.5,0.87,0.99,"09:58","12-Apr"
"8",161,8,"2022-04-12 09:42:00",85.83,87.5,0.67,0.77,"10:03","12-Apr"
"9",183,8,"2022-04-12 09:51:00",85.83,87.5,0.83,0.92,"10:08","12-Apr"
"10",205,8,"2022-04-12 09:56:00",85.72,87.5,0.86,0.92,"10:14","12-Apr"
"11",227,8,"2022-04-12 10:02:00",85.72,87.5,0.93,1,"10:19","12-Apr"
"12",250,8,"2022-04-12 10:08:00",85.55,87.5,0.9,0.99,"10:24","12-Apr"
"13",272,8,"2022-04-12 10:11:00",85.265,87.5,0.84,0.95,"10:30","12-Apr"
"14",294,8,"2022-04-12 10:17:00",85.32,87.5,0.82,0.9,"10:35","12-Apr"
"15",316,8,"2022-04-12 10:20:00",85.435,87.5,0.84,0.94,"10:40","12-Apr"
"16",338,9,"2022-04-12 10:20:00",85.16,87.5,0.64,0.75,"10:46","12-Apr"
"17",359,8,"2022-04-12 10:20:00",85.27,87.5,0.67,0.75,"10:51","12-Apr"
"18",382,9,"2022-04-12 10:35:00",85.1807,87.5,0.68,0.78,"10:56","12-Apr"
"19",405,9,"2022-04-12 10:46:00",85.06,87.5,0.6,0.7,"11:01","12-Apr"
"20",428,9,"2022-04-12 10:46:00",85.14,87.5,0.62,0.72,"11:07","12-Apr"
"21",451,9,"2022-04-12 10:46:00",85.04,87.5,0.61,0.7,"11:12","12-Apr"
"22",474,9,"2022-04-12 10:46:00",84.93,87.5,0.61,0.67,"11:17","12-Apr"
"23",496,9,"2022-04-12 10:46:00",85.0201,87.5,0.62,0.67,"11:22","12-Apr"
"24",518,9,"2022-04-12 10:46:00",85.07,87.5,0.57,0.64,"11:28","12-Apr"
"25",540,9,"2022-04-12 10:46:00",84.97,87.5,0.6,0.67,"11:33","12-Apr"
"26",562,9,"2022-04-12 10:46:00",84.91,87.5,0.62,0.69,"11:38","12-Apr"
"27",584,9,"2022-04-12 11:28:00",84.9,87.5,0.63,0.69,"11:44","12-Apr"
"28",606,9,"2022-04-12 11:28:00",84.89,87.5,0.59,0.67,"11:49","12-Apr"
"29",629,9,"2022-04-12 11:28:00",84.97,87.5,0.57,0.64,"11:54","12-Apr"
"30",652,9,"2022-04-12 11:28:00",84.86,87.5,0.57,0.64,"12:00","12-Apr"
"31",675,9,"2022-04-12 11:46:00",84.82,87.5,0.57,0.64,"12:05","12-Apr"
"32",698,9,"2022-04-12 11:46:00",84.67,87.5,0.56,0.65,"12:10","12-Apr"
"33",719,9,"2022-04-12 11:46:00",84.76,87.5,0.56,0.64,"12:15","12-Apr"
"34",740,9,"2022-04-12 12:01:00",84.65,87.5,0.56,0.63,"12:21","12-Apr"
"35",761,9,"2022-04-12 12:01:00",84.52,87.5,0.54,0.59,"12:26","12-Apr"
"36",782,9,"2022-04-12 12:11:00",84.605,87.5,0.54,0.61,"12:31","12-Apr"
"37",803,9,"2022-04-12 12:11:00",84.6,87.5,0.54,0.6,"12:37","12-Apr"
"38",824,9,"2022-04-12 12:23:00",84.64,87.5,0.55,0.59,"12:42","12-Apr"
"39",845,9,"2022-04-12 12:23:00",84.6259,87.5,0.51,0.58,"12:47","12-Apr"
"40",866,9,"2022-04-12 12:23:00",84.7399,87.5,0.51,0.58,"12:53","12-Apr"
"41",887,9,"2022-04-12 12:23:00",84.7,87.5,0.51,0.59,"12:58","12-Apr"
"42",908,9,"2022-04-12 12:23:00",84.61,87.5,0.51,0.59,"13:03","12-Apr"
"43",929,9,"2022-04-12 12:23:00",84.64,87.5,0.53,0.61,"13:09","12-Apr"
"44",950,9,"2022-04-12 12:58:00",84.77,87.5,0.53,0.61,"13:14","12-Apr"
"45",973,9,"2022-04-12 12:58:00",84.655,87.5,0.53,0.59,"13:19","12-Apr"
"46",994,9,"2022-04-12 12:58:00",84.73,87.5,0.53,0.59,"13:24","12-Apr"
"47",1015,9,"2022-04-12 12:58:00",84.59,87.5,0.53,0.62,"13:30","12-Apr"
"48",1036,9,"2022-04-12 12:58:00",84.6,87.5,0.53,0.58,"13:35","12-Apr"
"49",1057,9,"2022-04-12 13:20:00",84.445,87.5,0.53,0.6,"13:40","12-Apr"
