"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",32,1,"2022-04-11 13:50:00",99.585,95,0,0,"09:42","12-Apr"
"2",553,1,"2022-04-12 14:00:00",99.76,95,5.75,5.95,"14:17","12-Apr"
"3",563,1,"2022-04-12 14:00:00",99.77,95,5.55,5.7,"14:23","12-Apr"
"4",573,1,"2022-04-12 14:00:00",99.8306,95,5.45,5.6,"14:28","12-Apr"
"5",583,1,"2022-04-12 14:00:00",99.74,95,5.2,5.4,"14:33","12-Apr"
"6",593,1,"2022-04-12 14:00:00",99.74,95,5.2,5.35,"14:38","12-Apr"
"7",603,1,"2022-04-12 14:00:00",99.75,95,5.25,5.4,"14:44","12-Apr"
"8",613,1,"2022-04-12 14:00:00",99.95,95,5.35,5.5,"14:49","12-Apr"
"9",633,1,"2022-04-12 14:00:00",100,95,5.15,5.4,"15:00","12-Apr"
"10",644,1,"2022-04-12 14:00:00",99.73,95,5.35,5.55,"15:05","12-Apr"
"11",654,1,"2022-04-12 14:00:00",99.7,95,5.45,5.65,"15:10","12-Apr"
"12",664,1,"2022-04-12 14:00:00",99.8,95,5.45,5.6,"15:15","12-Apr"
"13",674,1,"2022-04-12 15:02:00",100,95,5.1,5.3,"15:21","12-Apr"
"14",685,1,"2022-04-12 15:02:00",99.77,95,5.1,5.3,"15:26","12-Apr"
"15",695,1,"2022-04-12 15:02:00",99.91,95,5.25,5.45,"15:31","12-Apr"
"16",705,1,"2022-04-12 15:19:00",100,95,5.3,5.55,"15:37","12-Apr"
"17",736,1,"2022-04-12 15:30:00",99.73,95,5.25,5.5,"15:53","12-Apr"
"18",746,1,"2022-04-12 15:30:00",99.77,95,5.35,5.6,"15:58","12-Apr"
"19",756,1,"2022-04-12 15:30:00",99.71,95,5.5,5.65,"16:03","12-Apr"
