"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",9,9,"2022-04-08 15:59:00",296.97,302.5,0,0,"09:21","11-Apr"
"2",21,9,"2022-04-08 15:59:00",296.97,302.5,0,0,"09:27","11-Apr"
"3",35,11,"2022-04-08 15:59:00",291.5746,302.5,0,0,"09:32","11-Apr"
"4",47,11,"2022-04-08 15:59:00",290.45,302.5,0,0,"09:37","11-Apr"
"5",59,12,"2022-04-08 15:59:00",289.34,302.5,0,0,"09:43","11-Apr"
"6",70,11,"2022-04-11 09:33:00",289.69,302.5,0.65,0.62,"09:48","11-Apr"
"7",81,11,"2022-04-11 09:37:00",289.58,302.5,0.46,0.52,"09:53","11-Apr"
"8",93,12,"2022-04-11 09:42:00",288.46,302.5,0.44,0.49,"09:58","11-Apr"
