"","X.2","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date","Prices"
"1",1,21,1,"2022-04-08 15:59:00",168.01,160,0,0,"09:37","11-Apr",8.07135239943779
"2",2,28,1,"2022-04-08 15:59:00",167.54,160,0,0,"09:42","11-Apr",7.61842144331084
"3",3,35,1,"2022-04-11 09:31:00",167.975,160,8.8,9,"09:48","11-Apr",8.03591774137067
"4",4,42,1,"2022-04-11 09:36:00",167.43,160,8.15,8.3,"09:53","11-Apr",7.51118914726979
"5",5,49,1,"2022-04-11 09:42:00",167.09,160,7.8,7.95,"09:58","11-Apr",7.18630335608924
"6",6,56,1,"2022-04-11 09:47:00",167.075,160,8,8.15,"10:03","11-Apr",7.17104041722547
"7",7,63,1,"2022-04-11 09:52:00",167.11,160,7.7,7.8,"10:09","11-Apr",7.20305719725326
"8",8,70,1,"2022-04-11 09:58:00",166.86,160,7.4,7.6,"10:14","11-Apr",6.96511417224119
"9",9,77,1,"2022-04-11 10:01:00",166.76,160,7.35,7.5,"10:19","11-Apr",6.86963491362778
"10",10,84,1,"2022-04-11 10:09:00",166.74,160,7.45,7.6,"10:25","11-Apr",6.84941818494667
"11",11,91,1,"2022-04-11 10:13:00",166.4685,160,7.25,7.4,"10:30","11-Apr",6.59328505412412
"12",12,97,1,"2022-04-11 10:19:00",166.9,160,7.15,7.3,"10:35","11-Apr",6.99839297822163
"13",13,104,1,"2022-04-11 10:23:00",166.58,160,7.1,7.25,"10:40","11-Apr",6.69536307491612
"14",14,110,1,"2022-04-11 10:27:00",166.27,160,6.85,7,"10:46","11-Apr",6.40392789127156
"15",15,116,1,"2022-04-11 10:34:00",166.2614,160,7.25,7.4,"10:51","11-Apr",6.39459662639285
"16",16,122,1,"2022-04-11 10:38:00",166.45,160,7,7.15,"10:56","11-Apr",6.56949495767674
"17",17,128,1,"2022-04-11 10:46:00",166.24,160,6.75,6.9,"11:01","11-Apr",6.37201663663265
"18",18,134,1,"2022-04-11 10:50:00",166.412,160,6.75,6.85,"11:07","11-Apr",6.53115356378683
"19",19,140,1,"2022-04-11 10:55:00",166.565,160,6.8,7,"11:12","11-Apr",6.67366222732829
"20",20,146,1,"2022-04-11 11:00:00",166.32,160,6.8,6.9,"11:17","11-Apr",6.44250779075304
"21",21,152,1,"2022-04-11 11:04:00",166.4,160,6.8,6.95,"11:23","11-Apr",6.51592549626622
"22",22,158,1,"2022-04-11 11:12:00",166.41,160,6.9,7.05,"11:28","11-Apr",6.52407402652591
"23",23,164,1,"2022-04-11 11:17:00",166.64,160,6.7,6.85,"11:33","11-Apr",6.73958633376338
"24",24,170,1,"2022-04-11 11:20:00",166.625,160,6.85,6.85,"11:38","11-Apr",6.72427485697006
"25",25,176,1,"2022-04-11 11:26:00",166.71,160,6.8,7,"11:44","11-Apr",6.80341956996233
"26",26,183,1,"2022-04-11 11:31:00",166.825,160,7,7.15,"11:49","11-Apr",6.91157479643684
"27",27,190,1,"2022-04-11 11:37:00",167.06,160,7,7.15,"11:54","11-Apr",7.13483067230135
"28",28,197,1,"2022-04-11 11:37:00",167.03,160,7.05,7.2,"11:59","11-Apr",7.10517572589075
"29",29,204,1,"2022-04-11 11:49:00",166.93,160,7.1,7.25,"12:05","11-Apr",7.00842323413673
"30",30,211,1,"2022-04-11 11:53:00",166.91,160,7.25,7.4,"12:10","11-Apr",6.98833740673726
"31",31,218,1,"2022-04-11 12:00:00",166.67,160,7.35,7.5,"12:15","11-Apr",6.75873321664662
