"Regime" "Start Time" "End Time" "Mean" "Standard Deviation" "Volatility"
1 1 31 5.14969413340542e-05 0.0023068572211895 0.72319146059976
2 31 71 -4.88803742402251e-05 0.00122435620848007 0.383831277710598
3 71 76 0.00014289449089544 0.000775686413917884 0.243174907183639
4 76 196 1.02353817014134e-05 0.000676970949847466 0.212227963441686
5 196 321 1.04498847019643e-05 0.000502901349760607 0.157657768469706
6 321 390 0.00024235081368353 0.000964005383418966 0.233533626260488
