"","X.1","X","Last.Trade.Date","Stock.Quote","Strike","Bid","Ask","Time","Date"
"1",9,9,"2022-04-13 10:13:00",100.2652,104,0.41,0.44,"10:29","13-Apr"
"2",20,10,"2022-04-13 10:18:00",100,104,0.4,0.44,"10:34","13-Apr"
"3",31,10,"2022-04-13 10:21:00",99.7274,104,0.38,0.43,"10:40","13-Apr"
"4",40,9,"2022-04-13 10:30:00",100.075,104,0.32,0.36,"10:45","13-Apr"
"5",51,10,"2022-04-13 10:30:00",100,104,0.33,0.36,"10:50","13-Apr"
"6",62,10,"2022-04-13 10:39:00",99.94,104,0.33,0.34,"10:56","13-Apr"
"7",72,10,"2022-04-13 10:42:00",99.5561,104,0.3,0.33,"11:01","13-Apr"
"8",82,10,"2022-04-13 10:51:00",99.93,104,0.29,0.31,"11:07","13-Apr"
"9",92,10,"2022-04-13 10:56:00",99.91,104,0.3,0.32,"11:12","13-Apr"
"10",101,9,"2022-04-13 11:00:00",100.13,104,0.23,0.27,"11:17","13-Apr"
"11",111,9,"2022-04-13 11:01:00",100.33,104,0.28,0.31,"11:23","13-Apr"
"12",121,9,"2022-04-13 11:12:00",100.59,104,0.29,0.3,"11:28","13-Apr"
"13",131,9,"2022-04-13 11:18:00",100.7595,104,0.29,0.31,"11:33","13-Apr"
"14",141,9,"2022-04-13 11:20:00",100.59,104,0.32,0.35,"11:39","13-Apr"
"15",151,9,"2022-04-13 11:26:00",100.51,104,0.35,0.38,"11:44","13-Apr"
"16",161,9,"2022-04-13 11:31:00",100.335,104,0.37,0.4,"11:49","13-Apr"
"17",171,9,"2022-04-13 11:37:00",100.57,104,0.36,0.39,"11:54","13-Apr"
"18",181,9,"2022-04-13 11:39:00",100.83,104,0.32,0.34,"12:00","13-Apr"
"19",191,9,"2022-04-13 11:45:00",100.84,104,0.3,0.32,"12:05","13-Apr"
"20",201,9,"2022-04-13 11:53:00",100.67,104,0.33,0.35,"12:10","13-Apr"
"21",211,9,"2022-04-13 11:57:00",100.93,104,0.35,0.37,"12:15","13-Apr"
"22",221,9,"2022-04-13 12:03:00",100.78,104,0.36,0.39,"12:21","13-Apr"
"23",231,9,"2022-04-13 12:09:00",100.8515,104,0.33,0.34,"12:26","13-Apr"
"24",241,9,"2022-04-13 12:15:00",100.515,104,0.36,0.36,"12:31","13-Apr"
"25",251,9,"2022-04-13 12:19:00",100.54,104,0.35,0.39,"12:37","13-Apr"
"26",261,9,"2022-04-13 12:19:00",100.5361,104,0.37,0.39,"12:42","13-Apr"
"27",271,9,"2022-04-13 12:28:00",100.65,104,0.29,0.32,"12:47","13-Apr"
"28",281,9,"2022-04-13 12:34:00",100.69,104,0.29,0.31,"12:52","13-Apr"
"29",291,9,"2022-04-13 12:34:00",100.66,104,0.3,0.31,"12:58","13-Apr"
"30",301,9,"2022-04-13 12:46:00",100.71,104,0.29,0.32,"13:03","13-Apr"
"31",311,9,"2022-04-13 12:46:00",100.625,104,0.3,0.32,"13:07","13-Apr"
"32",321,9,"2022-04-13 12:55:00",100.69,104,0.29,0.31,"13:12","13-Apr"
"33",331,9,"2022-04-13 12:56:00",100.695,104,0.32,0.33,"13:17","13-Apr"
"34",341,9,"2022-04-13 13:06:00",100.62,104,0.29,0.31,"13:23","13-Apr"
"35",351,9,"2022-04-13 13:09:00",100.47,104,0.29,0.31,"13:28","13-Apr"
"36",361,9,"2022-04-13 13:16:00",100.52,104,0.3,0.31,"13:33","13-Apr"
"37",371,9,"2022-04-13 13:23:00",100.29,104,0.29,0.3,"13:39","13-Apr"
"38",381,9,"2022-04-13 13:27:00",100.15,104,0.25,0.27,"13:44","13-Apr"
"39",392,10,"2022-04-13 13:28:00",99.96,104,0.26,0.28,"13:49","13-Apr"
"40",402,10,"2022-04-13 13:38:00",99.935,104,0.24,0.25,"13:54","13-Apr"
"41",412,10,"2022-04-13 13:45:00",99.9532,104,0.23,0.24,"14:00","13-Apr"
"42",422,10,"2022-04-13 13:48:00",99.94,104,0.22,0.22,"14:05","13-Apr"
"43",432,10,"2022-04-13 13:52:00",99.895,104,0.2,0.22,"14:10","13-Apr"
"44",442,10,"2022-04-13 14:00:00",99.9313,104,0.21,0.22,"14:16","13-Apr"
"45",452,10,"2022-04-13 14:00:00",99.99,104,0.21,0.23,"14:21","13-Apr"
"46",462,10,"2022-04-13 14:00:00",99.86,104,0.21,0.22,"14:26","13-Apr"
"47",472,10,"2022-04-13 14:12:00",99.9,104,0.21,0.22,"14:32","13-Apr"
"48",482,10,"2022-04-13 14:18:00",99.965,104,0.21,0.23,"14:37","13-Apr"
"49",491,9,"2022-04-13 14:25:00",100.0189,104,0.19,0.21,"14:42","13-Apr"
"50",501,9,"2022-04-13 14:30:00",100.06,104,0.2,0.23,"14:48","13-Apr"
"51",511,9,"2022-04-13 14:34:00",100.085,104,0.21,0.22,"14:53","13-Apr"
"52",521,9,"2022-04-13 14:36:00",100.065,104,0.22,0.24,"14:58","13-Apr"
"53",532,10,"2022-04-13 14:36:00",99.8096,104,0.22,0.23,"15:04","13-Apr"
"54",541,9,"2022-04-13 14:53:00",100.07,104,0.22,0.24,"15:09","13-Apr"
